,Unnamed: 0,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Approx Gpu,Model_x,Benchmark_x,Model_y,Benchmark_y,Cpu percentile,Gpu percentile,Weight percentile,Ram percentile,Size percentile,Pixels,Pixel percentile,Price percentile
49,821,Samsung,Notebook 9,Ultrabook,13.3,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,0.81,1499.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.0014218009478672985,0.514218009478673,0.10236966824644549,1920,0.5857819905213271,0.7274881516587678
50,835,Asus,ZenBook Flip,2 in 1 Convertible,13.3,Touchscreen / Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.1,1358.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.01848341232227488,0.514218009478673,0.10236966824644549,1920,0.5857819905213271,0.6654028436018957
51,866,Dell,Latitude 5580,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,128GB SSD,Intel HD Graphics 620,Windows 10,1.9,945.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.3744075829383886,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.4071090047393365
52,879,Acer,TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10),Notebook,14.0,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.56,902.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.23601895734597156,0.514218009478673,0.25687203791469193,1920,0.5857819905213271,0.3834123222748815
53,890,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.04,839.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.47156398104265407,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.3270142180094787
54,892,HP,Pavilion x360,2 in 1 Convertible,15.6,Touchscreen 1366x768,Core i5 7200U,4.0,500GB HDD,Intel HD Graphics 620,Windows 10,2.3,684.8,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7018957345971565,0.11137440758293839,0.5976303317535545,1366,0.12132701421800947,0.2018957345971564
55,896,HP,EliteBook x360,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Core i5 7200U,4.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.28,1799.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.1,0.11137440758293839,0.10236966824644549,1920,0.5857819905213271,0.8208530805687204
56,916,Lenovo,ThinkPad T570,Notebook,15.6,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,512GB SSD,Intel HD Graphics 620,Windows 10,1.95,1962.99,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.40568720379146916,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.8729857819905213
57,952,Dell,Latitude 7480,Ultrabook,14.0,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.36,1639.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.14360189573459714,0.514218009478673,0.25687203791469193,1920,0.5857819905213271,0.7687203791469195
58,989,HP,Probook 450,Notebook,15.6,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows 10,2.04,979.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.47156398104265407,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.4322274881516588
